4, 1, 8
1,0,1.5708
6.12323e-17,6.12323e-17,3.14159
-1,-1.22465e-16,-3.14159
-1.83697e-16,1.83697e-16,3.06162e-16
0.0276463,0.0261958,3.08772
0.108262,0.0886774,2.94336
0.238932,0.157148,2.73435
0.408082,0.201107,2.48656
0.591918,0.201107,2.22583
0.761068,0.157148,1.97804
0.891738,0.0886774,1.76903
0.972354,0.0261958,1.62466
-1.02969,-0.0734797,-3.00369
-0.967492,-0.115905,-2.93043
-0.842571,-0.128786,-2.90888
-0.678333,-0.118467,-2.92612
-0.495362,-0.0931731,-2.96921
-0.313925,-0.0614273,-3.02524
-0.155438,-0.0310576,-3.08126
-0.0428378,-0.00869277,-3.12435
0.0843835,0.0632041,0.107736
0.0852179,0.244995,0.39647
-0.0552138,0.471446,0.814487
-0.33575,0.61564,1.31007
-0.657178,0.589133,1.83152
-0.893954,0.417566,2.32711
-0.996644,0.207914,2.74512
-1.00801,0.054944,3.03386
1.1073,-0.0523965,1.24112
1.08401,-0.172109,0.950235
0.946051,-0.294862,0.698132
0.729705,-0.364598,0.484814
0.487693,-0.353038,0.310281
0.272228,-0.268364,0.174533
0.11655,-0.148401,0.0775702
0.0282776,-0.0434212,0.0193925
